Elapsedtime,Comment
00:00:45.4,Null
00:02:05.0,Stairs down
00:03:05.6,Null
00:03:31.3,Lift up
00:04:01.2,Null
00:04:20.1,Lift down
00:04:38.6,Null
00:06:05.0,Stairs down
00:06:45.6,Null
00:08:00.0,Stairs up
00:08:33.6,Null
00:08:59.6,Lift down
00:09:12.6,Null
00:09:30.5,Lift down
00:10:03.8,Null
00:10:26.2,Lift up
00:10:43.4,Null
00:11:27.6,Stairs up
00:11:46.7,Null
00:12:30.4,Stairs up
00:13:15.1,Null
00:13:42.1,Lift down
00:14:12.5,Null
00:14:42.2,Lift down
00:14:56.4,Null
00:16:07.5,Stairs up
00:17:53.8,Null
00:18:54.8,Stairs down
00:19:35.8,Null
00:19:58.0,Lift up
00:20:13.6,Null
00:20:32.7,Stairs up
00:20:47.1,Null
00:21:03.5,Stairs up
00:21:52.3,Null
00:22:14.5,Lift down
00:22:43.7,Null
00:23:09.6,Lift up
00:23:40.3,Null
00:24:02.7,Lift down
00:24:28.4,Null
00:24:47.3,Lift down
00:25:04.6,Null
00:25:23.3,Stairs up
00:25:35.0,Null
00:25:51.6,Stairs up
00:27:00.6,Null
00:27:23.2,Lift up
00:30:07.4,Null
00:30:11.7,Null
