Elapsedtime,Comment
00:00:41.456,Null
00:01:27.453,Stairs down
00:02:31.696,Null
00:02:46.063,Lift down
00:03:07.261,Null
00:04:11.365,Stairs up
00:04:46.709,Null
00:05:06.124,Stairs up
00:05:19.396,Null
00:06:05.989,Stairs up
00:07:23.083,Null
00:07:38.583,Stairs down
00:07:59.863,Null
00:10:04.537,Stairs down
00:10:48.794,Null
00:11:16.928,Lift up
00:11:42.164,Null
00:13:48.310,Stairs down
00:16:35.644,Null
00:18:09.458,Stairs up
00:19:06.138,Null
00:19:18.095,Lift up
00:19:47.348,Null
00:20:41.151,Stairs up
00:22:39.876,Null
00:23:29.526,Stairs down
00:23:41.027,Null
00:24:24.552,Stairs down
00:25:21.796,Null
00:25:43.606,Lift up
00:26:15.602,Null
00:27:01.503,Stairs up
00:30:04.181,Null
