Elapsedtime,Comment
00:00:30.388,Null
00:00:46.124,Lift up
00:01:04.128,Null
00:02:24.969,Stairs down
00:03:08.687,Null
00:03:37.912,Lift up
00:03:54.978,Null
00:04:04.567,Stairs down
00:04:18.615,Null
00:05:19.369,Stairs up
00:05:36.204,Null
00:07:00.994,Stairs down
00:07:16.474,Null
00:07:32.768,Stairs up
00:07:48.622,Null
00:08:06.549,Stairs up
00:08:41.902,Null
00:08:58.692,Lift down
00:09:20.020,Null
00:09:32.400,Stairs down
00:10:22.475,Null
00:10:40.001,Lift up
00:10:57.595,Null
00:12:46.085,Stairs up
00:15:05.261,Null
00:16:46.763,Stairs down
00:17:00.164,Null
00:17:07.878,Stairs up
00:17:30.698,Null
00:18:32.619,Stairs up
00:18:45.286,Null
