Elapsedtime,Comment
00:00:31.4,Null
00:01:10.5,Lift up
00:01:26.2,Null
00:03:39.4,Stairs down 
00:04:18.8,Null
00:04:30.7,Lift up
00:05:03.9,Null
00:05:16.3,Lift up
00:05:37.1,Null
00:05:59.9,Stairs down 
00:06:31.6,Null
00:06:54.1,Lift up
00:07:22.0,Null
00:07:44.7,Lift down 
00:08:05.4,Null
00:10:44.0,Stairs up
00:12:07.0,Null
00:14:09.7,Stairs down
00:14:33.1,Null
00:16:45.1,Stairs up
00:18:02.6,Null
00:19:31.6,Stairs down
00:20:27.0,Null
00:20:50.9,Lift down
00:21:21.4,Null
00:21:49.0,Lift up
00:22:19.9,Null
00:22:47.7,Lift down
00:23:05.4,Null
00:26:18.6,Stairs up
00:27:04.3,Null
00:27:22.4,Lift down
00:27:35.3,Null
00:27:56.8,Lift up
00:30:11.9,Null
