Elapsedtime,Comment
00:01:08.974,Null
00:01:29.352,Lift down
00:01:56.791,Null
00:02:13.208,Stairs up
00:02:42.150,Null
00:04:26.137,Stairs down
00:04:57.863,Null
00:05:20.185,Lift up
00:05:49.211,Null
00:06:03.624,Lift down
00:06:41.454,Null
00:06:55.555,Lift down
00:07:13.249,Null
00:08:17.328,Stairs up
00:08:30.019,Null
00:09:45.895,Stairs down
00:10:02.807,Null
00:10:41.890,Stairs up
00:10:56.623,Null
00:11:31.564,Stairs down
00:12:09.320,Null
00:12:30.130,Lift up
00:12:57.294,Null
00:13:19.975,Lift down
00:13:50.073,Null
00:14:16.284,Lift up
00:14:36.782,Null
00:15:12.232,Stairs down
00:15:39.436,Null
00:16:56.416,Stairs up
00:17:12.084,Null
00:18:39.488,Stairs down
00:18:55.602,Null
00:20:34.403,Stairs up
00:21:30.196,Null
00:21:58.194,Lift down
00:22:29.910,Null
00:22:46.073,Lift down
00:23:14.587,Null
00:23:31.523,Lift up
00:24:00.956,Null
00:24:14.468,Stairs down
00:25:10.293,Null
00:25:30.703,Lift up
00:25:57.135,Null
00:26:21.197,Lift down
00:26:56.449,Null
00:27:30.059,Lift up
00:27:58.222,Null
00:28:31.826,Lift down
00:28:50.379,Null
00:30:02.759,Stairs up
00:30:18.997,Null
