Elapsedtime,Comment
00:00:21.557,Null
00:00:36.366,Stairs up
00:00:55.558,Null
00:01:09.769,Stairs up
00:01:26.740,Null
00:02:09.075,Stairs down
00:02:45.538,Null
00:03:07.718,Lift down
00:03:23.040,Null
00:03:40.516,Stairs up
00:04:14.886,Null
00:04:29.553,Lift down
00:04:50.130,Null
00:05:08.174,Stairs up
00:05:28.260,Null
00:06:18.724,Stairs up
00:07:13.938,Null
00:07:25.631,Lift down
00:07:47.872,Null
00:08:29.302,Stairs down
00:08:47.178,Null
00:10:26.538,Stairs up
00:11:19.244,Null
00:11:35.055,Lift up
00:11:54.472,Null
00:13:18.982,Stairs down
00:13:49.452,Null
00:14:01.119,Lift up
00:14:35.530,Null
00:14:56.364,Lift down
00:15:17.035,Null
00:17:32.560,Stairs up
00:18:49.917,Null
00:19:05.603,Lift down
00:19:21.901,Null
00:19:36.517,Stairs down
00:19:56.498,Null
00:20:37.548,Stairs down
00:21:24.746,Null
00:21:38.180,Lift up
00:22:06.966,Null
00:22:20.812,Lift down
00:22:37.104,Null
00:23:54.739,Stairs up
00:25:38.597,Null




