Elapsedtime,Comment
00:00:15.915,Null
00:01:59.073,Stairs up
00:02:40.825,Null
00:03:08.703,Lift down
00:03:42.660,Null
00:05:01.612,Stairs up
00:06:36.015,Null
00:07:14.655,Lift down
00:07:35.274,Null
00:08:58.427,Stairs up
00:09:26.486,Null
00:10:27.983,Stairs down
00:11:03.638,Null
00:11:27.188,Lift up
00:11:57.942,Null
00:12:23.947,Lift up
00:12:54.331,Null
00:13:27.938,Lift down
00:14:00.145,Null
00:14:23.675,Lift up
00:14:40.436,Null
00:15:31.966,Stairs down
00:15:50.553,Null
00:17:52.796,Stairs up
00:22:03.996,Null
00:22:20.884,Lift down
00:22:55.331,Null
00:23:30.159,Lift down
00:23:48.788,Null
00:25:32.829,Stairs up
00:26:49.169,Null
00:27:09.660,Lift down
00:27:29.975,Null
00:27:41.902,Stairs up
00:28:44.503,Null
00:29:02.112,Lift down
00:29:23.830,Null
00:30:48.771,Stairs up
00:31:05.516,Null
