Elapsedtime,Comment
00:00:33.958,Null
00:01:01.417,Lift down
00:01:31.325,Null
00:02:02.499,Lift up
00:02:34.202,Null
00:03:00.537,Lift down
00:03:21.566,Null
00:05:19.975,Stairs up
00:06:14.469,Null
00:06:44.883,Lift down
00:07:04.469,Null
00:08:40.189,Stairs up
00:08:53.321,Null
00:10:34.779,Stairs down
00:11:10.082,Null
00:11:52.272,Lift up
00:12:28.135,Null
00:12:46.616,Lift down
00:13:15.633,Null
00:13:33.133,Lift up
00:14:06.316,Null
00:14:33.203,Lift down
00:14:48.334,Null
00:15:01.877,Stairs up
00:15:20.001,Null
00:16:57.789,Stairs down
00:17:30.325,Null
00:18:06.264,Lift up
00:18:38.512,Null
00:19:03.755,Lift down
00:19:33.120,Null
00:19:48.290,Stairs down
00:20:00.370,Null
00:21:26.751,Stairs up
00:22:33.165,Null
00:23:05.858,Lift down
00:23:53.346,Null
00:24:40.928,Stairs up
00:25:38.726,Null
00:26:07.137,Lift down
00:26:38.002,Null
00:26:52.575,Lift up
00:27:21.013,Null
00:27:47.833,Lift up
00:28:05.471,Null
00:28:18.021,Stairs down
00:28:32.198,Null
00:28:46.527,Stairs up
00:29:01.579,Null
00:29:37.722,Stairs down
00:30:00.460,Null
