Elapsedtime,	Comment
00:00:18.405,	Null
00:01:11.496,	Lift up
00:01:26.178,	Null
00:03:39.385,	Stairs down 
00:04:04.766,	Null
00:04:33.658,	Lift up
00:04:48.909,	Null
00:05:19.327,	Lift up
00:05:37.098,	Null
00:05:59.929,	Stairs down 
00:06:15.645,	Null
00:06:57.109,	Lift up
00:07:05.965,	Null
00:07:48.728,	Lift down 
00:08:05.368,	Null
00:10:44.008,	Stairs up
00:12:06.956,	Null
00:14:09.658,	Stairs down
00:14:33.075,	Null
00:16:45.064,	Stairs up
00:18:02.559,	Null
00:19:31.569,	Stairs down
00:20:14.039,	Null
00:20:55.868,	Lift down
00:21:05.375,	Null
00:21:51.997,	Lift up
00:22:03.852,	Null
00:22:50.711,	Lift down
00:23:05.361,	Null
00:26:18.606,	Stairs up
00:26:42.324,	Null
00:27:25.443,	Lift down
00:27:59.792,	Lift up
00:30:11.913,	Null
