Elapsedtime, Comment
00:00:43.279, Null
00:01:15.346,Lift down
00:01:26.371,Null
00:02:03.463,Lift down
00:02:20.673,Null
00:03:00.167,Stairs down
00:03:13.171,Null
00:04:25.610,Stairs up
00:04:39.097,Null
00:05:01.689,Stairs down
00:05:24.435,Null
00:06:08.053,Lift down
00:06:27.313,Null
00:09:39.840,Stairs up
00:14:33.264,Null
00:16:25.852,Stairs down
00:16:48.541,Null
00:18:05.997,Lift up
00:18:25.838,Null 
00:18:47.397,Stairs up
00:19:24.577,Null
00:20:17.945,Lift down
00:20:28.473,Null
00:21:06.607,Lift up
00:21:25.509,Null
00:21:41.751,Stairs down
00:21:54.946,Null
00:22:51.490,Stairs up
00:23:26.863,Null
00:24:11.895,Lift up
00:24:27.776,Null
00:25:12.881,Lift down
00:26:37.522,Null
00:27:20.966,Lift up
00:30:22.573,Null
