Elapsedtime,Comment
00:00:33.059,Null
00:01:05.494,Lift Down 4 - 3
00:01:17.261,Null
00:02:35.830,Stairs Up 3 - 7
00:02:50.936,Null
00:03:33.768,Lift Down 7 - 4
00:03:46.079,Null
00:03:58.212,Stairs Up 4 - 5
00:04:16.286,Null
00:04:31.058,Stairs Up 5 - 6
00:04:55.517,Null
00:05:47.833,Lift Down 6 - 2
00:05:57.220,Null
00:06:56.715,Stairs Up 2 - 5
00:07:43.235,Null
00:08:31.846,Lift Down 5 - 2
00:08:43.543,Null
00:09:44.636,Lift Up 2 - 8
00:09:59.952,Null
00:10:49.930,Stairs Down 8 - 5
00:11:01.874,Null
00:11:56.814,Stairs Up 5 - 8
00:12:10.645,Null
00:12:23.126,Stairs Down 8 - 7
00:12:45.418,Null
00:13:34.330,Stairs Down 7 - 4
00:14:08.578,Null
00:14:39.783,Lift Up 4 - 5
00:14:50.704,Null
00:15:24.941,Stairs Up 5 - 7
00:15:57.591,Null
00:16:26.413,Lift Up 7 - 8
00:16:40.340,Null
00:16:50.823,Stairs Down 8 - 7
00:17:05.469,Null
00:17:35.722,Stairs Down  7 - 5
00:17:47.884,Null
00:18:22.040,Stairs Up 5 - 7
00:18:53.424,Null
00:19:24.396,Lift Down 7 - 6
00:19:36.305,Null
00:20:05.994,Lift Up 6 - 7
00:20:14.434,Null
00:20:40.886,Lift Up 7 - 8
00:20:49.238,Null
00:21:18.956,Lift Down 8 - 7
00:21:29.315,Null
00:22:19.256,Stairs Down 7 - 4
00:22:30.997,Null
00:22:43.314,Stairs Up 4 - 5
00:23:02.391,Null
00:23:37.446,Stairs Up 5 - 7
00:23:54.924,Null
00:24:08.333,Stairs Up 7 - 8
00:24:24.355,Null
00:26:31.034,Stairs Down 8 - 2
00:26:46.624,Null
00:27:19.910,Lift Up 2 - 3
00:27:31.282,Null
00:28:05.907,Lift Up 3 - 5
00:28:18.991,Null
00:29:16.729,Stairs Up 5 - 8
00:30:00.631,Null
