Elapsedtime,Comment
00:00:21.557,Null
00:00:36.366,Stairs Up 4 - 5
00:00:55.558,Null
00:01:09.769,Stairs Up 5 - 6
00:01:26.740,Null
00:02:09.075,Stairs Down 6 - 4
00:02:27.538,Null
00:03:12.718,Lift Down 4 - 2
00:03:23.040,Null
00:03:40.516,Stairs Up 2 - 3
00:03:58.886,Null
00:04:34.553,Lift Down 3 - 2
00:04:50.130,Null
00:05:08.174,Stairs Up 2 - 3
00:05:28.260,Null
00:06:18.724,Stairs Up 3 - 5
00:06:58.938,Null
00:07:30.631,Lift Down 5 - 4
00:07:47.872,Null
00:08:29.302,Stairs Down 4 - 2
00:08:47.178,Null
00:10:26.538,Stairs Up 2 - 6
00:11:02.244,Null
00:11:40.055,Lift Up 6 - 8
00:11:54.472,Null
00:13:18.982,Stairs Down 8 - 4
00:13:37.452,Null
00:14:04.119,Lift Up 4 - 5
00:14:22.530,Null
00:15:03.364,Lift Down 5 - 2
00:15:17.035,Null
00:17:32.560,Stairs Up 2 - 7
00:18:33.917,Null
00:19:11.603,Lift Down 7 - 6
00:19:21.901,Null
00:19:36.517,Stairs Down 6 - 5
00:19:56.498,Null
00:20:37.548,Stairs Down 5 - 3
00:21:09.746,Null
00:21:44.180,Lift Up 3 - 4
00:21:52.966,Null
00:22:24.812,Lift Down 4 - 3
00:22:37.104,Null
00:23:54.739,Stairs Up 3 - 6
00:25:38.597,Null




