Elapsedtime,Comment
00:00:13.388,Null
00:00:52.124,Lift Up 6 - 7
00:01:04.128,Null
00:02:24.969,Stairs Down 7 - 2
00:02:54.687,Null
00:03:42.912,Lift Up 2 - 5
00:03:54.978,Null
00:04:04.567,Stairs Down 5 - 4
00:04:18.615,Null
00:05:19.369,Stairs Up 4 - 7
00:05:36.204,Null
00:07:00.994,Stairs Down 7 - 2
00:07:16.474,Null
00:07:32.768,Stairs Up 2 - 3
00:07:48.622,Null
00:08:06.549,Stairs Up 3 - 4
00:08:24.902,Null
00:09:04.692,Lift Down 4 - 3
00:09:20.020,Null
00:09:32.400,Stairs Down 3 - 2
00:10:06.475,Null
00:10:45.001,Lift Up 2 - 3
00:10:57.595,Null
00:12:46.085,Stairs Up 3 - 8
00:15:05.261,Null
00:16:46.763,Stairs Down 8 - 2
00:17:00.164,Null
00:17:07.878,Stairs Up 2 - 3
00:17:30.698,Null
00:18:32.619,Stairs Up 3 - 6
00:18:45.286,Null
