Elapsedtime,Comment
00:00:15.915,Null
00:01:59.073,Stairs Up 3 - 8
00:02:21.825,Null
00:03:23.703,Lift Down 8 - 3
00:03:42.660,Null
00:05:01.612,Stairs Up 3 - 7
00:06:21.015,Null
00:07:20.655,Lift Down 7 - 2
00:07:35.274,Null
00:08:58.427,Stairs Up 2 - 6
00:09:26.486,Null
00:10:27.983,Stairs down 6 - 2
00:10:47.638,Null
00:11:33.188,Lift Up 2 - 4
00:11:40.942,Null
00:12:28.947,Lift Up 4 - 7
00:12:39.331,Null
00:13:31.938,Lift Down 7 - 3
00:13:44.145,Null
00:14:28.675,Lift Up 3 - 5
00:14:40.436,Null
00:15:31.966,Stairs Down 5 - 2
00:15:50.553,Null
00:17:52.796,Stairs Up 2 - 8
00:21:47.996,Null
00:22:25.884,Lift Down 8 - 7
00:22:39.331,Null
00:23:34.159,Lift Down 7 - 2
00:23:48.788,Null
00:25:32.829,Stairs Up 2 - 7
00:26:33.169,Null
00:27:14.660,Lift down 7 - 4
00:27:29.975,Null
00:27:41.902,Stairs Up 4 - 5
00:28:18.503,Null
00:29:07.112,Lift Down 5 - 3
00:29:23.830,Null
00:30:48.771,Stairs Up 3 - 7
00:31:05.516,Null
