Elapsedtime,Comment
00:00:15.525,Null
00:00:51.151,Lift down 5 - 4
00:01:03.821,Null
00:01:23.784,Stairs up 4 - 5
00:01:47.379,Null
00:02:28.847,Lift down 5 - 2
00:02:43.772,Null
00:04:45.654,Stairs up 2 - 8
00:05:28.428,Null
00:06:26.948,Lift down 8 - 2
00:06:53.292,Null
00:08:10.158,Stairs Up 2 - 6
00:08:30.940,Null
00:09:10.843,Lift Up 6 - 7
00:09:26.701,Null
00:10:19.919,Stairs down 7 - 4
00:10:33.681,Null
00:11:48.518,Stairs up 4 - 8
00:14:57.359,Null
00:15:32.900,Lift down 8 - 6
00:15:49.375,Null
00:16:27.134,Lift Up 6 - 8
00:16:40.654,Null
00:18:37.753,Stairs down 8 - 2
00:19:27.444,Null
00:20:11.562,Lift Up 2 - 4
00:20:26.268,Null
00:21:00.103,Stairs down 4 - 2
00:21:47.202,Null
00:22:38.197,Lift Up 2 - 7
00:22:48.435,Null
00:23:29.330,Lift down 7 - 5
00:23:38.434,Null
00:24:35.144,Stairs Up 5 - 8
00:24:52.038,Null
00:25:42.521,Stairs down 8 - 5
00:26:01.478,Null
00:26:47.416,Lift down 5 - 2
00:27:00.721,Null
00:27:51.580,Lift Up 2 - 7
00:28:03.112,Null
00:28:48.478,Lift Down 7 - 3
00:29:01.133,Null
00:29:57.494,Loft up 3 - 6
00:30:08.222,Null
