Elapsedtime,Comment
00:45.4,N
02:05.0,SD
02:55.6,N
03:39.3,LU
03:48.2,N
04:23.1,LD
04:38.6,N
06:05.0,SD
06:45.6,N
08:00.0,SU
08:25.6,N
09:30.5,LD
10:03.8,N
10:28.2,LU
10:43.4,N
11:27.6,SU
11:46.7,N
12:30.4,SU
13:04.1,N
13:46.1,LD
13:58.5,N
14:44.2,LD
14:56.4,N
16:07.5,SU
17:53.8,N
18:54.8,SD
19:18.8,N
20:01.0,LU
20:13.6,N
20:32.7,SU
20:47.1,N
21:03.5,SU
21:39.3,N
22:17.5,LD
22:28.7,N
23:09.6,LU
23:25.3,N
24:02.7,LD
24:17.4,N
24:47.3,LD
25:04.6,N
25:23.3,SU
25:35.0,N
25:51.6,SU
26:55.6,N
27:28.2,LU
30:07.4,N
30:11.7,N
