Elapsedtime,Comment
00:00:33.890,Null
00:01:09.783,Lift Down 4 - 3
00:01:17.465,Null
00:02:01.250,Lift Up 3 - 6
00:03:42.908,Null
00:04:07.123,Lift Down 6 - 5
00:04:23.207,Null
00:04:50.899,Null
00:05:21.510,Lift Up 5 - 8
00:07:10.209,Null
00:08:09.594,Lift Down 8 - 2
00:08:22.895,Null
00:08:37.606,Stairs Up 2 - 3
00:08:54.660,Null
00:09:08.737,Stairs Up 3 - 4
00:09:41.484,Null
00:10:25.376,Lift Up 4 - 8
00:10:41.461,Null
00:11:52.455,Lift Down 8 - 4
00:12:29.469,Null
00:13:09.079,Lift Up 4 - 6
00:13:22.499,Null
00:14:00.148,Stairs Up 6 - 8
00:14:21.833,Null
00:15:31.805,Stairs Down 8 - 4
00:16:05.713,Null
00:16:43.076,Lift Up 4 - 6
00:16:56.112,Null
00:17:27.842,Lift Down 6 - 5
00:17:40.550,Null
00:18:12.600,Lift Up 5 - 6
00:18:24.845,Null
00:19:00.732,Lift Down 6 - 4
00:19:15.538,Null
00:19:56.437,Lift Up 4 - 7
00:20:09.799,Null
00:20:44.042,Stairs Down 7 - 5
00:21:04.282,Null
00:22:02.222,Stairs Down 5 - 2
00:22:19.706,Null
00:24:28.233,Stairs Up 2 - 8
00:24:49.364,Null
00:25:45.255,Lift Down 8 - 2
00:25:56.932,Null
00:26:12.746,Stairs Up 2 - 3
00:26:32.475,Null
00:28:24.890,Stairs Up 3 - 8
00:28:47.612,Null
00:30:18.683,Stairs Down 8 - 4
00:30:26.193,Null
