Elapsedtime,Comment
00:00:14.843,Null
00:00:51.711,Stairs Up
00:01:52.197,Null
00:02:30.865,Lift Up
00:02:39.766,Null
00:03:42.257,Lift Down
00:03:54.690,Null
00:05:04.579,Stairs Up
00:05:29.299,Null
00:06:28.388,Stairs Down
00:07:02.031,Null
00:07:34.315,Lift Up
00:07:46.905,Null
00:08:25.318,Lift Down
00:08:42.153,Null
00:09:14.691,Lift Up
00:09:29.886,Null
00:09:43.185,Stairs Down
00:09:58.164,Null
00:10:57.701,Stairs Up
00:11:12.144,Null
00:12:13.950,Stairs Down
00:13:10.261,Null
00:13:43.912,Lift Down
00:13:55.342,Null
00:15:07.116,Stairs Up
00:15:23.026,Null
00:16:26.055,Stairs Up
00:18:15.623,Null
00:20:35.138,Stairs Down
00:20:46.027,Null
00:22:26.007,Stairs Up
00:23:19.275,Null
00:23:50.928,Lift Down
00:24:06.921,Null
00:25:15.403,Stairs Down,2
00:25:35.129,Null
00:27:15.514,Stairs Up,6
00:27:58.625,Null
00:29:38.415,Stairs Down, 2
00:30:01.183,Null
