Elapsedtime,Comment
00:35.2,N
01:14.0,LD
01:28.0,N
01:41.4,SU
01:58.5,N
02:35.1,SU
02:52.4,N
04:22.0,SD
05:04.8,N
05:58.7,LU
06:13.1,N
06:49.2,LU
07:01.8,N
07:39.7,LD
07:54.2,N
08:23.8,SU
08:49.0,N
09:44.7,LD
10:00.4,N
10:45.7,LU
11:10.7,N
12:00.9,SD
12:50.8,N
13:25.9,LU
13:36.8,N
14:30.4,LU
14:45.4,N
14:57.1,SD
15:14.6,N
16:21.9,SD
17:02.9,N
17:54.7,LU
18:09.2,N
18:55.9,LD
19:13.0,N
19:58.4,LD
20:32.1,N
21:07.7,LU
21:22.7,N
22:04.6,LD
22:19.9,N
23:04.3,LD
23:23.2,N
25:18.5,SU
26:13.2,N
26:49.7,LD
27:15.1,N
29:10.5,SD
30:00.9,N
