Elapsedtime,	Comment
00:00:17.000,	Null5
00:00:27.939,	Stairs up,5
00:00:48.010,	Null
00:01:38.589,	Stairs down, 2
00:01:51.088,	Null
00:02:25.823,	Stairs up,4
00:02:49.434,	Null
00:03:37.249,	Lift up,7
00:03:51.122,	Null
00:05:15.767,	Stairs down,3
00:05:35.034,	Null
00:06:20.483,	Lift up,6
00:06:36.796,	Null
00:07:57.434,	Stairs down,2
00:08:21.367,	Null
00:09:01.393,	Lift up,5
00:09:15.357,	Null
00:10:15.558,	Stairs up,8
00:10:56.354,	Null
00:11:45.342,	Lift down,4
00:12:02.257,	Null
00:12:52.662,	Lift up,8
00:13:04.594,	Null
00:13:46.501,	Lift down,6
00:14:08.943,	Null
00:15:24.349,	Stairs down,2
00:15:53.367,	Null
00:17:53.555,	Stairs up,7
00:18:35.489,	Null
00:19:14.396,	Lift up,8
00:26:37.530,	Mull
00:27:41.067,	Stairs down,5
00:27:53.566,	Null
00:28:07.671,	Stairs up, 6
00:28:24.857,	Null
00:28:55.926,	Stairs down,3
00:29:18.703,	Null
00:30:12.055,	Stairs up
00:30:21.016,	Null
