Elapsedtime,Comment
00:00:17.000,Null
00:00:27.939,Stairs up
00:00:48.010,Null
00:01:38.589,Stairs down
00:01:51.088,Null
00:02:25.823,Stairs up
00:03:07.434,Null
00:03:30.249,Lift up
00:03:51.122,Null
00:05:15.767,Stairs down
00:05:49.034,Null
00:06:15.483,Lift up
00:06:36.796,Null
00:07:57.434,Stairs down
00:08:35.367,Null
00:08:56.393,Lift up
00:09:15.357,Null
00:10:15.558,Stairs up
00:11:09.354,Null
00:11:40.342,Lift down
00:12:15.257,Null
00:12:48.662,Lift up
00:13:18.594,Null
00:13:42.501,Lift down
00:14:08.943,Null
00:15:24.349,Stairs down
00:15:53.367,Null
00:17:53.555,Stairs up
00:18:50.489,Null
00:19:08.396,Lift up
00:26:37.530,Null
00:27:41.067,Stairs down
00:27:53.566,Null
00:28:07.671,Stairs up
00:28:24.857,Null
00:28:55.926,Stairs down
00:29:18.703,Null
00:30:12.055,Stairs up
00:30:21.016,Null
