Elapsedtime,Comment
00:00:33.525,Null
00:00:45.151,Lift down
00:01:03.821,Null
00:01:23.784,Stairs up
00:02:02.379,Null
00:02:23.847,Lift down
00:02:43.772,Null
00:04:45.654,Stairs up
00:05:44.428,Null
00:06:20.948,Lift down
00:06:53.292,Null
00:08:10.158,Stairs Up
00:08:46.940,Null
00:09:04.843,Lift Up
00:09:26.701,Null
00:10:19.919,Stairs down
00:10:33.681,Null
00:11:48.518,Stairs up
00:15:11.359,Null
00:15:26.900,Lift down
00:16:04.375,Null
00:16:22.134,Lift Up
00:16:40.654,Null
00:18:37.753,Stairs down
00:19:43.444,Null
00:20:06.562,Lift Up
00:20:26.268,Null
00:21:00.103,Stairs down
00:22:03.202,Null
00:22:32.197,Lift Up
00:23:04.435,Null
00:23:20.330,Lift down
00:23:38.434,Null
00:24:35.144,Stairs Up
00:24:52.038,Null
00:25:42.521,Stairs down
00:26:18.478,Null
00:26:40.416,Lift down
00:27:16.721,Null
00:27:44.580,Lift Up
00:28:17.112,Null
00:28:41.478,Lift Down
00:29:16.133,Null
00:29:51.494,Lift up
00:30:08.222,Null
