Elapsedtime,Comment
00:00:50.2,Null
00:01:05.0,Lift down
00:01:26.0,Null
00:01:40.4,Stairs up
00:01:57.5,Null
00:02:34.1,Stairs up
00:02:51.4,Null
00:04:21.0,Stairs down
00:05:18.8,Null
00:05:51.7,Lift up
00:06:28.1,Null
00:06:42.2,Lift up
00:07:15.8,Null
00:07:32.7,Lift down
00:07:54.2,Null
00:08:22.8,Stairs up
00:09:03.0,Null
00:09:35.7,Lift down
00:10:16.4,Null
00:10:37.7,Lift up
00:11:09.7,Null
00:12:00.9,Stairs down
00:13:04.8,Null
00:13:16.9,Lift up
00:13:52.8,Null
00:14:20.4,Lift up
00:14:43.4,Null
00:14:55.1,Stairs down
00:15:13.6,Null
00:16:21.9,Stairs down
00:17:17.9,Null
00:17:45.7,Lift up
00:18:21.2,Null
00:18:45.9,Lift down
00:19:25.0,Null
00:19:48.4,Lift down
00:20:26.1,Null
00:20:56.7,Lift up
00:21:34.7,Null
00:21:54.6,Lift down
00:22:32.9,Null
00:22:54.3,Lift down
00:23:20.2,Null
00:25:15.5,Stairs up
00:26:27.2,Null
00:26:39.7,Lift down
00:27:11.1,Null
00:28:24.5,Stairs down
00:30:00.9,Null
