Elapsedtime,Comment
00:00:47.059,Null
00:01:00.494,Lift down
00:01:17.261,Null
00:02:35.830,Stairs up
00:03:07.936,Null
00:03:31.768,Lift down
00:03:46.079,Null
00:03:58.212,Stairs up
00:04:16.286,Null
00:04:31.058,Stairs up
00:05:09.517,Null
00:05:42.833,Lift down
00:05:57.220,Null
00:06:56.715,Stairs up
00:07:57.235,Null
00:08:26.846,Lift down
00:08:57.543,Null
00:09:40.636,Lift up
00:09:59.952,Null
00:10:49.930,Stairs down
00:11:01.874,Null
00:11:56.814,Stairs up
00:12:10.645,Null
00:12:23.126,Stairs down
00:12:45.418,Null
00:13:34.330,Stairs down
00:14:22.578,Null
00:14:35.783,Lift up
00:14:50.704,Null
00:15:24.941,Stairs up
00:16:10.591,Null
00:16:22.413,Lift up
00:16:40.340,Null
00:16:50.823,Stairs down
00:17:05.469,Null
00:17:35.722,Stairs down
00:17:47.884,Null
00:18:22.040,Stairs up
00:19:07.424,Null
00:19:19.396,Lift down
00:19:50.305,Null
00:20:01.994,Lift up
00:20:25.434,Null
00:20:36.886,Lift up
00:21:02.238,Null
00:21:14.956,Lift down
00:21:29.315,Null
00:22:19.256,Stairs down
00:22:30.997,Null
00:22:43.314,Stairs up
00:23:02.391,Null
00:23:37.446,Stairs up
00:23:54.924,Null
00:24:08.333,Stairs up
00:24:24.355,Null
00:26:31.034,Stairs down
00:27:00.624,Null
00:27:14.910,Lift up
00:27:45.282,Null
00:28:02.907,Lift up
00:28:18.991,Null
00:29:16.729,Stairs up
00:30:00.631,Null
