Elapsedtime,Comment
00:00:14.843,Null
00:00:51.711,Stairs up
00:02:06.197,Null
00:02:23.865,Lift up
00:02:54.766,Null
00:03:36.257,Lift down
00:03:54.690,Null
00:05:04.579,Stairs up
00:05:29.299,Null
00:06:28.388,Stairs down
00:07:17.031,Null
00:07:29.315,Lift up
00:08:01.905,Null
00:08:19.318,Lift down
00:08:55.153,Null
00:09:09.691,Lift up
00:09:29.886,Null
00:09:43.185,Stairs down
00:09:58.164,Null
00:10:57.701,Stairs up
00:11:12.144,Null
00:12:13.950,Stairs down
00:13:25.261,Null
00:13:37.912,Lift down
00:13:55.342,Null
00:15:07.116,Stairs up
00:15:23.026,Null
00:16:26.055,Stairs up
00:18:15.623,Null
00:20:35.138,Stairs down
00:20:46.027,Null
00:22:26.007,Stairs up
00:23:33.275,Null
00:23:46.928,Lift down
00:24:06.921,Null
00:25:15.403,Stairs down
00:25:35.129,Null
00:27:15.514,Stairs up
00:27:58.625,Null
00:29:38.415,Stairs down
00:30:01.183,Null
