Elapsedtime,Comment
00:00:18.713,Null
00:00:56.000,Stairs up
00:01:18.121,Null
00:01:33.803,Stairs up
00:02:50.868,Null
00:03:15.947,Lift down
00:03:47.513,Null
00:04:04.445,Lift up
00:04:24.493,Null
00:05:09.985,Stairs down
00:05:34.478,Null
00:06:28.965,Stairs down
00:07:10.246,Null
00:07:40.507,Lift up
00:08:12.635,Null
00:08:39.681,Lift up
00:09:01.785,Null
00:11:31.093,Stairs down
00:11:48.723,Null
00:12:11.652,Stairs up
00:12:35.925,Null
00:13:49.468,Stairs up
00:17:27.930,Null
00:17:43.050,Lift up
00:18:01.776,Null
00:18:54.247,Stairs down
00:19:10.948,Null
00:19:57.281,Stairs down
00:20:45.235,Null
00:21:07.172,Lift up
00:21:30.235,Null
00:22:17.393,Stairs down
00:23:09.130,Null
00:23:21.891,Lift up
00:23:57.801,Null
00:24:22.204,Lift down
00:24:44.407,Null
00:25:03.790,Stairs up
00:25:18.797,Null
00:25:37.134,Stairs down
00:25:53.983,Null
00:27:02.984,Stairs up
00:28:58.325,Null
00:29:44.272,Stairs up
00:30:02.803,Null
