Elapsedtime,Comment
00:00:04.950,Null
00:01:09.895,Stairs up
00:01:45.457,Null
00:02:08.809,Stairs down
00:04:30.049,Null
00:05:00.087,Stairs down
00:06:22.286,Null
00:06:40.188,Lift down
00:07:10.165,Null
00:07:27.571,Lift up
00:07:47.535,Null
00:07:58.481,Stairs down
00:08:21.359,Null
00:09:21.690,Stairs up
00:09:49.408,Null
00:10:31.996,Stairs down
00:11:41.464,Null
00:12:13.424,Lift up
00:12:47.082,Null
00:12:56.369,Stairs up
00:13:43.480,Null
00:13:51.571,Stairs down
00:14:57.291,Null
00:15:13.177,Lift down
00:15:53.364,Null
00:16:05.827,Lift down
00:16:54.549,Null
00:17:06.682,Lift up
00:17:29.607,Null
00:17:52.896,Stairs down
00:18:38.987,Null
00:19:36.882,Stairs up
00:20:08.623,Null
00:21:25.158,Stairs down
00:22:21.807,Null
00:22:52.693,Lift up
00:23:06.807,Null
00:23:24.807,Lift up
00:24:21.845,Null
00:24:38.616,Lift down
00:25:20.621,Null
00:25:32.628,Lift up
00:25:56.686,Null
00:26:05.682,Stairs down
00:26:31.904,Null
00:27:20.458,Stairs down
00:27:44.876,Null
00:27:51.685,Stairs up
00:28:42.505,Null
00:29:02.897,Lift up
00:29:17.582,Null
