Elapsedtime,Comment
00:00:47.890,Null
00:01:05.783,Lift down
00:01:32.465,Null
00:01:57.250,Lift up
00:03:55.908,Null
00:04:02.123,Lift down
00:05:01.899,Null
00:05:16.510,Lift up
00:07:25.209,Null
00:08:05.594,Lift down
00:08:22.895,Null
00:08:37.606,Stairs up
00:08:54.660,Null
00:09:08.737,Stairs up
00:09:55.484,Null
00:10:21.376,Lift up
00:10:55.461,Null
00:11:12.455,Lift down
00:11:28.461,Null
00:11:46.455,Lift down
00:12:43.469,Null
00:13:04.079,Lift up
00:13:22.499,Null
00:14:00.148,Stairs up
00:14:21.833,Null
00:15:31.805,Stairs down
00:16:20.713,Null
00:16:38.076,Lift up
00:17:10.112,Null
00:17:23.842,Lift down
00:17:54.550,Null
00:18:07.600,Lift up
00:18:38.845,Null
00:18:55.732,Lift down
00:19:29.538,Null
00:19:50.437,Lift up
00:20:09.799,Null
00:20:44.042,Stairs down
00:21:04.282,Null
00:22:02.222,Stairs down
00:22:19.706,Null
00:24:28.233,Stairs up
00:25:03.364,Null
00:25:41.255,Lift down
00:25:56.932,Null
00:26:12.746,Stairs up
00:26:32.475,Null
00:28:24.890,Stairs up
00:28:47.612,Null
00:30:18.683,Stairs down
00:30:26.193,Null
