Elapsedtime,Comment
00:00:31.684,Null
00:00:55.878,Lift up
00:01:15.772,Null
00:01:50.300,Stairs down
00:02:44.507,Null
00:03:04.356,Lift down
00:03:18.973,Null
00:04:00.901,Stairs up
00:04:21.333,Null
00:04:35.866,Stairs up
00:05:12.921,Null
00:05:23.578,Lift up
00:05:40.694,Null
00:06:16.238,Stairs down
00:07:11.301,Null
00:07:40.869,Lift down
00:08:13.322,Null
00:08:49.951,Lift up
00:09:21.121,Null
00:09:53.169,Lift down
00:10:30.469,Null
00:11:01.388,Lift up
00:11:32.209,Null
00:11:53.344,Lift down
00:12:14.504,Null
00:13:17.588,Stairs up
00:14:23.805,Null
00:14:39.360,Lift down
00:15:22.664,Null
00:15:51.910,Lift down
00:16:10.122,Null
00:18:09.347,Stairs up
00:18:35.347,Null
00:20:11.107,Stairs down
00:20:50.057,Null
00:21:10.169,Lift up
00:21:30.057,Null
00:21:50.169,Lift up
00:22:03.057,Null
00:22:19.169,Lift up
00:22:39.499,Null
00:22:52.815,Stairs down
00:23:10.258,Null
00:23:24.271,Stairs down
00:23:45.313,Null
00:24:24.895,Stairs down
00:24:44.666,Null
00:25:51.608,Stairs up
00:26:14.711,Null
00:26:28.907,Stairs up
00:30:00.576,Null
